task,experiment,evaluation_profile,log,repetition,support_scenario,case_budget,support_prefixes,retrieval_mode,prior_mode,prior_strength,retrieval_k,n_queries,structured_max_order,structured_smoothing,structured_weight,structured_tau,structured_context_coverage,structured_mean_context_support,structured_mean_selected_order,structured_mean_effective_weight,virtual_expert_replicates,virtual_expert_support_fraction,virtual_expert_min_support_prefixes,virtual_expert_full_support_weight,virtual_expert_subbag_weight,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,macro_label_recall_at_k,macro_retrieval_given_pool,macro_decision_given_retrieval,nll,multiclass_brier,ece_10,aurc,mae_hours,rmse_hours,median_absolute_error_hours,normalized_mae,mae_skill_vs_median,rmse_skill_vs_median,d2_absolute_error,r2,interval_coverage,mean_interval_width_hours,regression_mode,regression_num_transforms,regression_transform_aggregation
regression,example_selector_screen,,receipt,0,natural,4,16,,,,20,244,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,52.186947651812396,151.46978532217224,2.552180546581094,0.987947240282988,0.011533469415264674,0.011798301807697698,0.011533469415264674,-0.10747570552196217,0.8524590163934426,72.01812393938908,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,receipt,0,natural,16,68,fm_structured_mix,balanced,1.0,20,244,3,0.5,0.75,0.5,0.9016393442622951,10.315573770491802,2.487704918032787,0.6139822936231515,1,1.0,1,1.0,1.0,0.7459016393442623,0.3222169059011164,0.2845622895622895,0.31478692688140836,0.30565513753394535,0.5789473684210527,0.889344262295082,0.44671451355661884,0.9430639730639732,0.7339486425200711,3.758567899714548,0.39432540294915547,0.07244901358347199,0.21531786688834365,,,,,,,,,,,,,
regression,example_selector_screen,,receipt,0,natural,16,68,,,,20,244,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,59.13893749574747,151.6658625326978,12.24106908262446,1.1195548450544943,-0.1201433116745787,0.01051907749239267,-0.1201433116745787,-0.11034480970820804,0.9016393442622951,234.33471492079437,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,receipt,0,natural,64,278,fm_structured_mix,balanced,1.0,20,244,3,0.5,0.75,0.5,0.9467213114754098,29.598360655737704,2.7418032786885247,0.6605544849080192,1,1.0,1,1.0,1.0,0.7786885245901639,0.35724082934609247,0.3215319865319865,0.3465692670300301,0.34304933830550527,0.5263157894736842,0.9344262295081968,0.47360446570972886,0.6427489177489177,0.6874746716697936,2.440652304729199,0.3268274473055327,0.050976374228356845,0.06731559269037618,,,,,,,,,,,,,
regression,example_selector_screen,,receipt,0,natural,64,278,,,,20,244,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,70.24645778166149,169.69878537138632,15.36663245286542,1.3298304888049477,-0.3305294816738449,-0.10712923721710355,-0.3305294816738449,-0.39007955498698066,0.9262295081967213,339.77366048128147,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,receipt,0,natural,128,563,fm_structured_mix,balanced,1.0,20,244,3,0.5,0.75,0.5,0.9918032786885246,57.799180327868854,2.9057377049180326,0.6991123055869766,1,1.0,1,1.0,1.0,0.8155737704918032,0.48917065390749603,0.4607912457912458,0.46059899070168653,0.4522459156350517,0.42105263157894735,0.9918032786885246,0.5023125996810208,0.5302188552188554,0.7900387596899225,0.9970682475851247,0.29724319987675024,0.057548574464961005,0.06371305964525624,,,,,,,,,,,,,
regression,example_selector_screen,,receipt,0,natural,128,563,,,,20,244,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,67.54178142194081,164.57799824600156,14.032561375335145,1.2786284609861798,-0.2793005407615514,-0.07372078864352694,-0.2793005407615512,-0.30745195749485865,0.9098360655737705,276.3302737518412,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,receipt,1,natural,1,4,fm_structured_mix,balanced,1.0,20,244,3,0.5,0.75,0.5,0.7213114754098361,0.7213114754098361,1.1434426229508197,0.36065573770491804,1,1.0,1,1.0,1.0,0.44672131147540983,0.12947368421052632,0.08111111111111112,0.10536834166865126,0.10167466588306996,0.7894736842105263,0.6762295081967213,0.21052631578947367,1.0,0.615,9.588547786670405,0.805173179206858,0.2206958171540439,0.5383046235222491,,,,,,,,,,,,,
regression,example_selector_screen,,receipt,1,natural,1,4,,,,20,244,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,226.735526853998,247.44033607157553,263.16371604427866,4.292313463589536,-3.2945696131720412,-0.6143216931820117,-3.2945696131720412,-1.9554470430787654,0.06147540983606557,143.41500638742917,learned_transform_ensemble,4,dynamic
classification,example_selector_screen,main,receipt,1,natural,4,16,fm_structured_mix,balanced,1.0,20,244,3,0.5,0.75,0.5,0.8770491803278688,2.1557377049180326,2.377049180327869,0.5343091334894613,1,1.0,1,1.0,1.0,0.7213114754098361,0.20502392344497608,0.16085858585858587,0.17939514675972987,0.1904946866474826,0.7368421052631579,0.8565573770491803,0.2631578947368421,1.0,0.7790909090909091,4.71709185865861,0.4978979245261551,0.10644047839383548,0.1789477246971202,,,,,,,,,,,,,
regression,example_selector_screen,,receipt,1,natural,4,16,,,,20,244,,,,,,,,,1,1.0,1,1.0,1.0,,,,,,,,,,,,,,,241.96889899555015,273.75887163534935,275.20000639456214,4.580695303199339,-3.5831030336420397,-0.7860260465138489,-3.5831030336420397,-2.6175837358849647,0.36885245901639346,308.2943353183934,learned_transform_ensemble,4,dynamic
