task,experiment,log,repetition,support_scenario,case_budget,support_prefixes,n_queries,accuracy,balanced_accuracy,adjusted_balanced_accuracy,macro_precision,macro_f1,zero_recall_fraction,support_pool_availability,nll,macro_retrieval_given_pool,macro_decision_given_retrieval,multiclass_brier,ece_10,aurc
classification,baseline_lstm_natural_ce,billing,0,class_aware,64,1190,208,0.9326923076923077,0.6975460030165912,0.6639400033517681,0.7314200437951826,0.6874750385442142,0.2,1.0,0.5225928422889196,1.0,0.6975460030165912,0.20452264735502002,0.22542265902918124,0.03780435215946148
classification,baseline_lstm_logit_adjustment,billing,0,class_aware,64,1190,208,0.5769230769230769,0.6689260935143287,0.6321401039048097,0.7686824675092192,0.5642960241970143,0.0,1.0,0.8804421561328849,1.0,0.6689260935143287,0.3688873429601636,0.2668333152935904,0.14327386023379887
classification,baseline_lstm_class_weighted_ce,billing,0,class_aware,64,1190,208,0.5817307692307693,0.671867269984917,0.6354080777610188,0.7736824675092191,0.5738943443216502,0.0,1.0,0.78018724134105,1.0,0.671867269984917,0.33088248640390366,0.254099304572894,0.14082911319680777
classification,baseline_lstm_balanced_softmax,billing,0,class_aware,64,1190,208,0.5769230769230769,0.6689260935143287,0.6321401039048097,0.7686824675092192,0.5642960241970143,0.0,1.0,0.8102365438514592,1.0,0.6689260935143287,0.3358186404429266,0.2450327827380254,0.13857978642020513
classification,baseline_weighted_logistic,billing,0,class_aware,64,1190,208,0.6057692307692307,0.6247707390648567,0.5830785989609519,0.7869860993612381,0.5909225208235108,0.0,1.0,0.9407639298366325,1.0,0.6247707390648567,0.3988833785149157,0.2165669446902797,0.2740524741388277
classification,baseline_random_forest,billing,0,class_aware,64,1190,208,0.7403846153846154,0.6615731523378582,0.6239701692642868,0.8318860270197865,0.6927432491148273,0.1,1.0,0.8845894243100815,1.0,0.6615731523378582,0.28012097599351965,0.12036790977618207,0.16751069603556348
classification,baseline_gaussian_nb,billing,0,class_aware,64,1190,208,0.3173076923076923,0.5288461538461539,0.4764957264957265,0.53670969877524,0.41883597883597884,0.3,1.0,17.02575103426782,1.0,0.5288461538461539,0.8797494145276523,0.6246971870823049,0.7837657293590159
classification,baseline_tabpfn,billing,0,class_aware,64,1190,208,0.7692307692307693,0.6792202111613876,0.6435780124015419,0.8336594260345649,0.7029571897635506,0.1,1.0,0.5830354614156725,1.0,0.6792202111613876,0.2259306143992543,0.09995644878868243,0.0857361009444931
classification,baseline_lstm_natural_ce,billing,0,class_aware,128,2059,208,0.8173076923076923,0.6524102564102564,0.6137891737891737,0.7317045388165198,0.6558575857585758,0.2,1.0,0.5087922367796509,1.0,0.6524102564102564,0.1989581760201148,0.08576570995725122,0.05406728544315597
classification,baseline_lstm_logit_adjustment,billing,0,class_aware,128,2059,208,0.7019230769230769,0.6502609351432881,0.6114010390480978,0.7831399455150843,0.650316029470751,0.1,1.0,0.9010361584996939,1.0,0.6502609351432881,0.3581455318983218,0.18029584268420637,0.17580671425607813
classification,baseline_lstm_class_weighted_ce,billing,0,class_aware,128,2059,208,0.7019230769230769,0.6355173453996984,0.5950192726663316,0.7831399455150843,0.632145603405588,0.1,1.0,0.9099369175435934,1.0,0.6355173453996984,0.3767024069014848,0.27657328288142496,0.2059016125404774
classification,baseline_lstm_balanced_softmax,billing,0,class_aware,128,2059,208,0.7019230769230769,0.6502609351432881,0.6114010390480978,0.7831399455150843,0.650316029470751,0.1,1.0,0.8769691696803292,1.0,0.6502609351432881,0.35422737351462774,0.20114324041284043,0.17540748102889064
classification,baseline_weighted_logistic,billing,0,class_aware,128,2059,208,0.6875,0.6277119155354449,0.5863465728171611,0.8355641879393267,0.6435018859028759,0.1,1.0,1.0245289466846108,1.0,0.6277119155354449,0.4206810110225971,0.3680225056389021,0.2658565339476758
classification,baseline_random_forest,billing,0,class_aware,128,2059,208,0.7403846153846154,0.6624374057315234,0.6249304508128039,0.7652108843537415,0.6813192322383499,0.1,1.0,1.0682355020068657,1.0,0.6624374057315234,0.31615094215810013,0.17932900072581995,0.17839743318075138
classification,baseline_gaussian_nb,billing,0,class_aware,128,2059,208,0.3125,0.4788461538461538,0.4209401709401709,0.43657474600870827,0.3519254097302878,0.4,1.0,15.921194010164138,1.0,0.4788461538461538,0.8501468881006289,0.6595779543181048,0.7889423712991772
classification,baseline_tabpfn,billing,0,class_aware,128,2059,208,0.8173076923076923,0.7004871794871794,0.6672079772079772,0.8341227464978853,0.7220772856698991,0.1,1.0,0.5527320525990782,1.0,0.7004871794871794,0.2276269618965527,0.09688944979412568,0.11225253425534906
classification,baseline_lstm_natural_ce,billing,1,natural,1,3,208,0.7259615384615384,0.29423076923076924,0.21581196581196582,0.239760348583878,0.25824230387288977,0.7,0.7403846153846154,2.1982511508904983,1.0,0.9807692307692308,0.8034622954358892,0.6066067233824959,0.07798407155556626
classification,baseline_lstm_logit_adjustment,billing,1,natural,1,3,208,0.7163461538461539,0.29023076923076924,0.21136752136752135,0.28527272727272723,0.28750700280112046,0.7,0.7403846153846154,2.550622269586227,1.0,0.9674358974358975,0.8729681364454993,0.6330737385736168,0.08627921836844575
classification,baseline_lstm_class_weighted_ce,billing,1,natural,1,3,208,0.7259615384615384,0.29423076923076924,0.21581196581196582,0.239760348583878,0.25824230387288977,0.7,0.7403846153846154,2.1982511508904983,1.0,0.9807692307692308,0.8034622954358892,0.6066067233824959,0.07798407155556626
classification,baseline_lstm_balanced_softmax,billing,1,natural,1,3,208,0.7355769230769231,0.2980769230769231,0.22008547008547008,0.24107142857142855,0.26111111111111107,0.7,0.7403846153846154,2.206940852536794,1.0,0.9935897435897436,0.8051667707404262,0.6178334248610414,0.06450335055508222
